Index,Title_x,ID,Rating,Release Year,Duration,Cleaned_Title,Title_y,BoxOfficeMojo_Link,Title,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
3024,2954. Holy Motors,tt2076220,7.0,PG,1h 55m,Holy Motors,2954. Holy Motors,https://www.boxofficemojo.com/title/tt2076220/,Holy Motors (2012),"$1,953,562","$641,100","$1,312,462",Leos Carax,"Denis Lavant (Mr. Oscar/Le Banquier/La Mendiante/L'O.S de la Motion Capture/M. Merde/Le Père/L'Accordéoniste/Le Tueur/Le Tué/Le Mourant/L'Homme au Foyer), Edith Scob (Céline), Eva Mendes (Kay M), Kylie Minogue (Eva Grace (Jean))"
3025,2955. Two for the Money,tt0417217,6.2,2018,2h 2m,Two for the Money,2955. Two for the Money,https://www.boxofficemojo.com/title/tt0417217/,Two for the Money (2005),"$30,526,509","$22,991,379","$7,535,130",D.J. Caruso,"Matthew McConaughey (Brandon), Al Pacino (Walter), Rene Russo (Toni), Armand Assante (Novian)"
3026,2956. Planes,tt1691917,5.7,1h 42m,1h 31m,Planes,2956. Planes,https://www.boxofficemojo.com/title/tt1691917/,Planes (2013),"$240,171,783","$90,288,712","$149,883,071",Klay Hall,"Carlos Alazraqui (El Chupacabra/Additional Voices), Dane Cook (Dusty Crophopper), Stacy Keach (Skipper), Brad Garrett (Chug)"
3027,2957. The Family Plan,tt16431870,6.3,PG-13,1h 58m,The Family Plan,2957. The Family Plan,https://www.boxofficemojo.com/title/tt16431870/,The Family Plan (2023),–,–,–,Simon Cellan Jones,"Mark Wahlberg (Dan Morgan), Michelle Monaghan (Jessica Morgan), Ciarán Hinds (McCaffrey), Zoe Colletti (Nina Morgan)"
3028,2958. Anon,tt5397194,6.1,2008,1h 40m,Anon,2958. Anon,https://www.boxofficemojo.com/title/tt5397194/,Anon (2018),"$1,197,741",–,"$1,197,741",Andrew Niccol,"Clive Owen (Sal Frieland), Afiya Bennett (Ima Aug), Morgan Allen (Iri Aug), Jeffrey Men (Chen Sheng Lu)"
3029,2959. Saved!,tt0332375,6.7,1h 41m,1h 32m,Saved!,2959. Saved!,https://www.boxofficemojo.com/title/tt0332375/,Saved! (2004),"$10,275,509","$8,940,582","$1,334,927",Brian Dannelly,"Jena Malone (Mary), Mandy Moore (Hilary Faye), Macaulay Culkin (Roland), Patrick Fugit (Patrick)"
3030,2960. Ju-on: The Grudge,tt0364385,6.7,R,1h 32m,Ju-on: The Grudge,2960. Ju-on: The Grudge,https://www.boxofficemojo.com/title/tt0364385/,Ju-on: The Grudge (2002),"$3,659,791","$325,680","$3,332,196",Takashi Shimizu,"Megumi Okina (Rika Nishina), Misaki Itô (Hitomi Tokunaga), Misa Uehara (Izumi Tôyama), Yui Ichikawa (Chiharu)"
3031,2961. Glory Road,tt0385726,7.2,2013,1h 58m,Glory Road,2961. Glory Road,https://www.boxofficemojo.com/title/tt0385726/,Glory Road (2006),"$42,938,449","$42,647,449","$291,000",Don Haskins,"Josh Lucas (Don Haskins), Derek Luke (Bobby Joe Hill), Austin Nichols (Jerry Armstrong), Jon Voight (Adolph Rupp)"
3032,2962. When a Stranger Calls,tt0455857,5.1,1h 57m,1h 27m,When a Stranger Calls,2962. When a Stranger Calls,https://www.boxofficemojo.com/title/tt0455857/,When a Stranger Calls (2006),"$67,062,123","$47,860,214","$19,201,909",Simon West,"Camilla Belle (Jill Johnson), Tommy Flanagan (Stranger), Katie Cassidy (Tiffany), Tessa Thompson (Scarlet)"
3033,2963. Cargo,tt3860916,6.3,R,1h 45m,Cargo,2963. Cargo,https://www.boxofficemojo.com/title/tt3860916/,Cargo (2017),"$56,385",–,"$56,385",Ben Howling,"Simone Landers (Thoomi), Martin Freeman (Andy), Marlee Jane McPherson-Dobbins (Rosie), Lily Anne McPherson-Dobbins (Rosie)"
3034,2963. Cargo,tt3860916,6.3,R,1h 45m,Cargo,2963. Cargo,https://www.boxofficemojo.com/title/tt3860916/,Cargo (2009),–,–,–,Ivan Engler,"Anna Katharina Schwabroh (Laura Portmann), Martin Rapold (Samuel Decker), Regula Grauwiller (Anna Lindbergh), Yangzom Brauen (Miyuki Yoshida)"
3035,2964. 3000 Miles to Graceland,tt0233142,6.0,2013,2h 5m,3000 Miles to Graceland,2964. 3000 Miles to Graceland,https://www.boxofficemojo.com/title/tt0233142/,3000 Miles to Graceland (2001),"$18,720,175","$15,749,959","$2,970,216",Demian Lichtenstein,"Kurt Russell (Michael Zane), Kevin Costner (Murphy), Courteney Cox (Cybil Waingrow), Christian Slater (Hanson)"
3036,2965. Starred Up,tt2567712,7.3,1h 56m,1h 46m,Starred Up,2965. Starred Up,https://www.boxofficemojo.com/title/tt2567712/,Starred Up (2013),"$3,025,189","$54,915","$2,970,274",David Mackenzie,"Jack O'Connell (Eric Love), Ben Mendelsohn (Neville Love), Rupert Friend (Oliver Baumer), Sam Spruell (Deputy Governor Haynes)"
3037,2966. Waitress,tt0473308,7.0,PG-13,1h 48m,Waitress,2966. Waitress,https://www.boxofficemojo.com/title/tt0473308/,Waitress (2007),"$22,240,529","$19,074,800","$3,165,729",Adrienne Shelly,"Keri Russell (Jenna), Nathan Fillion (Dr. Pomatter), Jeremy Sisto (Earl), Cheryl Hines (Becky)"
3038,2967. The Boss,tt2702724,5.4,2022,1h 39m,The Boss,2967. The Boss,https://www.boxofficemojo.com/title/tt2702724/,The Boss (2016),"$78,844,582","$63,285,885","$15,558,697",Ben Falcone,"Melissa McCarthy (Michelle Darnell), Kristen Bell (Claire), Peter Dinklage (Renault), Ella Anderson (Rachel)"
3039,2968. Bachelorette,tt1920849,5.3,3h 9m,1h 27m,Bachelorette,2968. Bachelorette,https://www.boxofficemojo.com/title/tt1920849/,Bachelorette (2012),"$12,128,575","$447,954","$11,680,621",Leslye Headland,"Kirsten Dunst (Regan), Isla Fisher (Katie), Lizzy Caplan (Gena), James Marsden (Trevor)"
3040,2969. Peter Rabbit,tt5117670,6.6,R,1h 35m,Peter Rabbit,2969. Peter Rabbit,https://www.boxofficemojo.com/title/tt5117670/,Peter Rabbit (2018),"$351,516,614","$115,253,424","$236,242,642",Will Gluck,"James Corden (Peter Rabbit), Fayssal Bazzi (Mr. Tod), Domhnall Gleeson (Mr. Jeremy Fisher/Mr. Thomas McGregor), Sia (Mrs. Tiggy-Winkle)"
3041,2970. The Pink Panther 2,tt0838232,5.6,2009,1h 32m,The Pink Panther 2,2970. The Pink Panther 2,https://www.boxofficemojo.com/title/tt0838232/,The Pink Panther 2 (2009),"$76,025,134","$35,922,978","$40,102,156",Harald Zwart,"Steve Martin (Clouseau), Jean Reno (Ponton), Emily Mortimer (Nicole), Andy Garcia (Vicenzo)"
3042,2971. Orphan: First Kill,tt11851548,5.9,2h 15m,1h 39m,Orphan: First Kill,2971. Orphan: First Kill,https://www.boxofficemojo.com/title/tt11851548/,Orphan: First Kill (2022),"$37,083,743","$5,413,227","$31,670,516",William Brent Bell,"Isabelle Fuhrman (Esther/Leena), Julia Stiles (Tricia Albright), Rossif Sutherland (Allen Albright), Hiro Kanagawa (Detective Donnan)"
3043,2972. No Man's Land,tt0283509,7.9,PG-13,1h 38m,No Man's Land,2972. No Man's Land,https://www.boxofficemojo.com/title/tt0283509/,No Man's Land (2001),"$4,858,869","$1,012,153","$3,846,716",Danis Tanovic,"Branko Djuric (Ciki), Rene Bitorajac (Nino), Filip Sovagovic (Cera), Georges Siatidis (Marchand)"
3044,2973. Pink,tt5571734,8.0,2002,2h 16m,Pink,2973. Pink,https://www.boxofficemojo.com/title/tt5571734/,Pink (2016),"$180,180",–,"$180,180",Aniruddha Roy Chowdhury,"Amitabh Bachchan (Deepak Sehgal), Taapsee Pannu (Minal Arora), Kirti Kulhari (Falak Ali), Andrea Tariang (Andrea)"
3045,2974. Veronica,tt5862312,6.2,1h 35m,1h 45m,Veronica,2974. Veronica,https://www.boxofficemojo.com/title/tt5862312/,Veronica (2017),"$6,123,089",–,"$6,123,089",Paco Plaza,"Sandra Escacena (Verónica), Bruna González (Lucía), Claudia Placer (Irene), Iván Chavero (Antoñito)"
3046,2975. The Company Men,tt1172991,6.7,R,1h 44m,The Company Men,2975. The Company Men,https://www.boxofficemojo.com/title/tt1172991/,The Company Men (2010),"$8,087,000","$4,441,272","$3,645,728",John Wells,"Ben Affleck (Bobby Walker), Chris Cooper (Phil Woodward), Tommy Lee Jones (Gene McClary), Suzanne Rico (Gail)"
3047,2976. Happiest Season,tt8522006,6.6,2016,1h 42m,Happiest Season,2976. Happiest Season,https://www.boxofficemojo.com/title/tt8522006/,Happiest Season (2020),"$2,110,618",–,"$2,110,618",Clea DuVall,"Kristen Stewart (Abby), Mackenzie Davis (Harper), Mary Steenburgen (Tipper), Victor Garber (Ted)"
3048,2977. Sleeping with Other People,tt3165612,6.5,1h 58m,1h 41m,Sleeping with Other People,2977. Sleeping with Other People,https://www.boxofficemojo.com/title/tt3165612/,Sleeping with Other People (2015),"$3,224,947","$819,431","$2,405,516",Leslye Headland,"Jason Sudeikis (Jake), Alison Brie (Lainey), Jordan Carlos (R.A.), Margarita Levieva (Hannah)"
3049,2978. Swimming Pool,tt0324133,6.7,PG-13,1h 42m,Swimming Pool,2978. Swimming Pool,https://www.boxofficemojo.com/title/tt0324133/,Swimming Pool (2003),"$22,441,497","$10,130,108","$12,311,389",François Ozon,"Charlotte Rampling (Sarah Morton), Charles Dance (John Bosload), Ludivine Sagnier (Julie), Jean-Marie Lamour (Franck)"
3050,2979. Hobo with a Shotgun,tt1640459,6.1,2021,1h 26m,Hobo with a Shotgun,2979. Hobo with a Shotgun,https://www.boxofficemojo.com/title/tt1640459/,Hobo with a Shotgun (2011),"$748,453","$703,372","$45,081",Jason Eisener,"Rutger Hauer (Hobo), Pasha Ebrahimi (Bumfight Filmmaker), Robb Wells (Logan), Brian Downey (Drake)"
3051,2980. Ingrid Goes West,tt5962210,6.6,2h 11m,1h 38m,Ingrid Goes West,2980. Ingrid Goes West,https://www.boxofficemojo.com/title/tt5962210/,Ingrid Goes West (2017),"$3,146,831","$3,024,308","$122,523",Matt Spicer,"Aubrey Plaza (Ingrid Thorburn), Elizabeth Olsen (Taylor Sloane), O'Shea Jackson Jr. (Dan Pinto), Wyatt Russell (Ezra O'Keefe)"
3052,2981. High Crimes,tt0257756,6.4,R,1h 55m,High Crimes,2981. High Crimes,https://www.boxofficemojo.com/title/tt0257756/,High Crimes (2002),"$63,781,810","$41,543,917","$22,237,893",Carl Franklin,"Jim Caviezel (Tom Kubik/Sgt. Ron Chapman), Morgan Freeman (Charles W. Grimes), Ashley Judd (Claire Kubik), Adam Scott (Lt. Terrence Embry)"
3053,2982. Kill the Messenger,tt1216491,6.9,2022,1h 52m,Kill the Messenger,2982. Kill the Messenger,https://www.boxofficemojo.com/title/tt1216491/,Kill the Messenger (2014),"$5,218,973","$2,450,846","$2,768,127",Michael Cuesta,"Jeremy Renner (Gary Webb), Robert Patrick (Ronald J. Quail), Jena Sims (Quail's Girlfriend), Robert Pralgo (LA Sheriff)"
3054,2983. Kung Pow: Enter the Fist,tt0240468,6.2,2h 6m,1h 21m,Kung Pow: Enter the Fist,2983. Kung Pow: Enter the Fist,https://www.boxofficemojo.com/title/tt0240468/,Kung Pow: Enter the Fist (2002),"$16,994,625","$16,037,962","$956,663",Steve Oedekerk,"Steve Oedekerk (Chosen One), Fei Lung (Master Pain (Betty)), Leo Lee (Young Master Pain), Ling-Ling Hsieh (Ling)"
3055,2984. The Odd Life of Timothy Green,tt1462769,6.6,PG-13,1h 45m,The Odd Life of Timothy Green,2984. The Odd Life of Timothy Green,https://www.boxofficemojo.com/title/tt1462769/,The Odd Life of Timothy Green (2012),"$56,012,642","$51,854,875","$4,157,767",Peter Hedges,"Jennifer Garner (Cindy Green), Joel Edgerton (Jim Green), CJ Adams (Timothy Green), Odeya Rush (Joni Jerome)"
3056,2985. Red Cliff,tt0425637,7.3,2016,2h 28m,Red Cliff,2985. Red Cliff,https://www.boxofficemojo.com/title/tt0425637/,Red Cliff (2008),"$129,710,514","$627,047","$129,083,467",John Woo,"Tony Leung Chiu-wai (Zhou Yu), Takeshi Kaneshiro (Zhuge Liang), Fengyi Zhang (Cao Cao), Chang Chen (Sun Quan)"
3057,2986. Race 3,tt7431594,1.9,2h 25m,2h 40m,Race 3,2986. Race 3,https://www.boxofficemojo.com/title/tt7431594/,Race 3 (2018),"$29,969,693","$1,690,861","$28,278,832",Remo D'Souza,"Anil Kapoor (Shamsher), Salman Khan (Sikander), Bobby Deol (Yash), Jacqueline Fernandez (Jessica)"
3058,2987. Possessor,tt5918982,6.5,Not Rated,1h 43m,Possessor,2987. Possessor,https://www.boxofficemojo.com/title/tt5918982/,Possessor (2020),"$911,180","$752,885","$158,295",Brandon Cronenberg,"Andrea Riseborough (Tasya Vos), Christopher Abbott (Colin Tate), Jennifer Jason Leigh (Girder), Rossif Sutherland (Michael Vos)"
3059,2988. Enough,tt0278435,5.8,2010,1h 55m,Enough,2988. Enough,https://www.boxofficemojo.com/title/tt0278435/,Enough (2002),"$51,806,184","$40,007,742","$11,798,442",Michael Apted,"Jennifer Lopez (Slim Hiller), Billy Campbell (Mitch Hiller), Tessa Allen (Gracie Hiller), Juliette Lewis (Ginny)"
3060,2989. The Big Year,tt1053810,6.2,1h 36m,1h 40m,The Big Year,2989. The Big Year,https://www.boxofficemojo.com/title/tt1053810/,The Big Year (2011),"$8,179,416","$7,204,138","$975,278",David Frankel,"Owen Wilson (Kenny Bostick), Jack Black (Brad Harris), Steve Martin (Stu Preissler), John Cleese (Narrator)"
3061,2990. Tokyo Godfathers,tt0388473,7.8,R,1h 32m,Tokyo Godfathers,2990. Tokyo Godfathers,https://www.boxofficemojo.com/title/tt0388473/,Tokyo Godfathers (2003),"$605,610","$367,131","$237,279",Shôgo Furuya,"Tôru Emori (Gin), Yoshiaki Umegaki (Hana), Aya Okamoto (Miyuki), Shôzô Îzuka (Ôta)"
3062,2991. The Hole,tt0242527,6.2,2023,1h 42m,The Hole,2991. The Hole,https://www.boxofficemojo.com/title/tt0242527/,The Hole (2001),"$7,819,851",–,"$7,819,851",Nick Hamm,"Thora Birch (Liz), Desmond Harrington (Mike), Daniel Brocklebank (Martin), Laurence Fox (Geoff)"
3063,2991. The Hole,tt0242527,6.2,2023,1h 42m,The Hole,2991. The Hole,https://www.boxofficemojo.com/title/tt0242527/,The Hole (2009),"$10,457,002",–,"$10,457,002",Joe Dante,"Chris Massoglia (Dane), Haley Bennett (Julie), Nathan Gamble (Lucas), Teri Polo (Susan)"
3064,2992. Fred Claus,tt0486583,5.7,1h 43m,1h 56m,Fred Claus,2992. Fred Claus,https://www.boxofficemojo.com/title/tt0486583/,Fred Claus (2007),"$97,838,349","$72,006,777","$25,831,572",David Dobkin,"Vince Vaughn (Fred Claus), Paul Giamatti (Nick 'Santa' Claus), Elizabeth Banks (Charlene), John Michael Higgins (Willie)"
3065,2993. Blood Work,tt0309377,6.4,R,1h 50m,Blood Work,2993. Blood Work,https://www.boxofficemojo.com/title/tt0309377/,Blood Work (2002),"$31,794,718","$26,235,081","$5,559,637",Clint Eastwood,"Clint Eastwood (Terry McCaleb), Jeff Daniels (Jasper 'Buddy' Noone), Anjelica Huston (Dr. Bonnie Fox), Wanda De Jesus (Graciella Rivers)"
3066,2994. Suzume,tt16428256,7.6,2015,2h 2m,Suzume,2994. Suzume,https://www.boxofficemojo.com/title/tt16428256/,Suzume (2022),"$133,473,559","$10,932,037","$122,541,522",Makoto Shinkai,"Nanoka Hara (Suzume Iwato), Hokuto Matsumura (Souta Munakata), Eri Fukatsu (Tamaki Iwato), Shôta Sometani (Minoru Okabe)"
3067,2995. Happy Feet Two,tt1402488,5.8,2h 2m,1h 40m,Happy Feet Two,2995. Happy Feet Two,https://www.boxofficemojo.com/title/tt1402488/,Happy Feet Two (2011),"$159,197,038","$64,006,466","$95,190,572",George Miller,"Elijah Wood (Mumble), Robin Williams (Ramon/Lovelace), P!nk (Gloria), Carlos Alazraqui (Nestor)"
3068,2996. Cirque du Freak: The Vampire's Assistant,tt0450405,5.8,R,1h 49m,Cirque du Freak: The Vampire's Assistant,2996. Cirque du Freak: The Vampire's Assistant,https://www.boxofficemojo.com/title/tt0450405/,Cirque du Freak: The Vampire's Assistant (2009),"$39,291,383","$13,869,515","$25,421,868",Paul Weitz,"Chris Massoglia (Darren), John C. Reilly (Crepsley), Salma Hayek (Madame Truska), Josh Hutcherson (Steve)"
3069,2997. Big Stan,tt0490086,6.2,2014,1h 45m,Big Stan,2997. Big Stan,https://www.boxofficemojo.com/title/tt0490086/,Big Stan (2007),"$8,742,330",–,"$8,742,330",Rob Schneider,"Rob Schneider (Big Stan), David Carradine (The Master), Sally Kirkland (Madame Foreman), Jennifer Morrison (Mindy)"
3070,2998. Garfield: A Tail of Two Kitties,tt0455499,5.0,2h 30m,1h 22m,Garfield: A Tail of Two Kitties,2998. Garfield: A Tail of Two Kitties,https://www.boxofficemojo.com/title/tt0455499/,Garfield: A Tail of Two Kitties (2006),"$143,325,970","$28,426,747","$114,899,223",Tim Hill,"Breckin Meyer (Jon Arbuckle), Jennifer Love Hewitt (Liz), Billy Connolly (Dargis), Bill Murray (Garfield)"
3071,2999. Slow West,tt3205376,6.9,PG-13,1h 24m,Slow West,2999. Slow West,https://www.boxofficemojo.com/title/tt3205376/,Slow West (2015),"$1,295,574","$229,094","$1,066,480",John Maclean,"Kodi Smit-McPhee (Jay Cavendish), Caren Pistorius (Rose Ross), Aorere Paki (Young Native Boy), Jeffrey Thomas (Union Officer)"
3072,3000. Dark Places,tt2402101,6.2,2009,1h 53m,Dark Places,3000. Dark Places,https://www.boxofficemojo.com/title/tt2402101/,Dark Places (2015),"$5,090,852","$208,588","$4,882,264",Gilles Paquet-Brenner,"Charlize Theron (Libby Day), Nicholas Hoult (Lyle Wirth), Christina Hendricks (Patty Day), Chloë Grace Moretz (Young Diondra)"
3073,"3001. New York, I Love You",tt0808399,6.2,1h 29m,1h 43m,"New York, I Love You","3001. New York, I Love You",https://www.boxofficemojo.com/title/tt0808399/,"New York, I Love You (2008)","$9,961,023","$1,588,015","$8,373,008",Fatih Akin,"Shia LaBeouf (Jacob (segment ""Shekhar Kapur"")), Natalie Portman (Rifka (segment ""Mira Nair"")), Bradley Cooper (Gus (segment ""Allen Hughes"")), Hayden Christensen (Ben (segment ""Jiang Wen""))"
3074,3002. Dog,tt11252248,6.5,PG-13,1h 41m,Dog,3002. Dog,https://www.boxofficemojo.com/title/tt11252248/,Dog (2022),"$84,550,282","$61,778,069","$22,772,213",Reid Carolin,"Channing Tatum (Jackson Briggs), Ryder McLaughlin (Deli Teenager), Aavi Haas (Deli Manager), Luke Forbes (Ranger Jones)"
3075,3003. Fever Pitch,tt0332047,6.2,2008,1h 44m,Fever Pitch,3003. Fever Pitch,https://www.boxofficemojo.com/title/tt0332047/,Fever Pitch (2005),"$50,605,163","$42,071,069","$8,534,094",Bobby Farrelly,"Drew Barrymore (Lindsey), Jimmy Fallon (Ben), Jason Spevack (Ben - 1980), Jack Kehler (Al)"
3076,3004. To All the Boys: P.S. I Still Love You,tt9354842,6.1,2h 8m,1h 41m,To All the Boys: P.S. I Still Love You,3004. To All the Boys: P.S. I Still Love You,https://www.boxofficemojo.com/title/tt9354842/,To All the Boys: P.S. I Still Love You (2020),–,–,–,Michael Fimognari,"Lana Condor (Lara Jean), Noah Centineo (Peter), Jordan Fisher (John Ambrose), Anna Cathcart (Kitty)"
