Index,Title_x,ID,Rating,Release Year,Duration,Cleaned_Title,Title_y,BoxOfficeMojo_Link,Title,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
3088,3016. Dr. Dolittle 2,tt0240462,4.7,1h 38m,1h 27m,Dr. Dolittle 2,3016. Dr. Dolittle 2,https://www.boxofficemojo.com/title/tt0240462/,Dr. Dolittle 2 (2001),"$176,104,344","$112,952,899","$63,151,445",Steve Carr,"Eddie Murphy (Dr. John Dolittle), Cedric The Entertainer (Zoo Bear #1), Kristen Wilson (Lisa Dolittle), Raven-Symoné (Charisse Dolittle)"
3089,3017. The Return,tt0376968,7.9,R,1h 50m,The Return,3017. The Return,https://www.boxofficemojo.com/title/tt0376968/,The Return (2003),"$8,482,993","$504,256","$7,978,737",Andrey Zvyagintsev,"Vladimir Garin (Andrey), Ivan Dobronravov (Ivan), Konstantin Lavronenko (Otets), Nataliya Vdovina (Mat)"
3090,3018. Devdas,tt0238936,7.5,2014,3h 5m,Devdas,3018. Devdas,https://www.boxofficemojo.com/title/tt0238936/,Devdas (2002),"$5,428,774","$2,745,382","$2,683,392",Sanjay Leela Bhansali,"Shah Rukh Khan (Devdas Mukherji), Aishwarya Rai Bachchan (Parvati 'Paro'), Madhuri Dixit (Chandramukhi), Jackie Shroff (Chunnilal)"
3091,3019. Better Watch Out,tt4443658,6.5,1h 39m,1h 29m,Better Watch Out,3019. Better Watch Out,https://www.boxofficemojo.com/title/tt4443658/,Better Watch Out (2016),"$176,288","$20,369","$155,919",Chris Peckover,"Olivia DeJonge (Ashley), Levi Miller (Luke), Ed Oxenbould (Garrett), Aleks Mikic (Ricky)"
3092,3020. Endless Love,tt2318092,6.2,R,1h 44m,Endless Love,3020. Endless Love,https://www.boxofficemojo.com/title/tt2318092/,Endless Love (2014),"$34,718,173","$23,438,250","$11,279,923",Shana Feste,"Gabriella Wilde (Jade Butterfield), Alex Pettyfer (David Elliot), Bruce Greenwood (Hugh Butterfield), Robert Patrick (Harry Elliot)"
3093,3021. Honey,tt0322589,5.3,2013,1h 34m,Honey,3021. Honey,https://www.boxofficemojo.com/title/tt0322589/,Honey (2003),"$62,228,395","$30,308,417","$31,919,978",Bille Woodruff,"Jessica Alba (Honey Daniels), Mekhi Phifer (Chaz), Romeo Miller (Benny), Missy Elliott (Missy Elliot)"
3094,3022. The Good Girl,tt0279113,6.4,1h 59m,1h 33m,The Good Girl,3022. The Good Girl,https://www.boxofficemojo.com/title/tt0279113/,The Good Girl (2002),"$16,860,964","$14,018,296","$2,842,668",Miguel Arteta,"Jennifer Aniston (Justine Last), Jake Gyllenhaal (Holden Worther), Deborah Rush (Gwen Jackson), Mike White (Corny)"
3095,3023. Summer of 84,tt5774450,6.7,R,1h 45m,Summer of 84,3023. Summer of 84,https://www.boxofficemojo.com/title/tt5774450/,Summer of 84 (2018),"$42,027",–,"$42,027",François Simard,"Graham Verchere (Davey Armstrong), Judah Lewis (Tommy 'Eats' Eaton), Caleb Emery (Dale 'Woody' Woodworth), Cory Gruter-Andrew (Curtis Farraday)"
3096,3024. Udaan,tt1639426,8.1,2006,2h 14m,Udaan,3024. Udaan,https://www.boxofficemojo.com/title/tt1639426/,Udaan (2010),"$434,862","$7,461","$427,401",Vikramaditya Motwane,"Rajat Barmecha (Rohan Singh), Ronit Roy (Bhairav Singh), Manjot Singh (Maninder Singh), Ram Kapoor (Jimmy Singh)"
3097,3025. Cinderella,tt10155932,4.4,1h 45m,1h 52m,Cinderella,3025. Cinderella,https://www.boxofficemojo.com/title/tt10155932/,Cinderella (2015),"$542,358,331","$201,151,353","$341,206,978",Kenneth Branagh,"Lily James (Cinderella), Cate Blanchett (Stepmother), Richard Madden (Prince), Helena Bonham Carter (Fairy Godmother)"
3098,3025. Cinderella,tt10155932,4.4,1h 45m,1h 52m,Cinderella,3025. Cinderella,https://www.boxofficemojo.com/title/tt10155932/,Cinderella (2021),"$42,494",–,"$42,494",Kay Cannon,"Camila Cabello (Cinderella), Billy Porter (Fabulous Godmother), Nicholas Galitzine (Prince Robert), Idina Menzel (Vivian)"
3099,3026. The Witches,tt0805647,5.4,PG-13,1h 46m,The Witches,3026. The Witches,https://www.boxofficemojo.com/title/tt0805647/,The Witches (2020),"$29,303,571","$203,571","$29,100,000",Robert Zemeckis,"Anne Hathaway (Grand High Witch), Octavia Spencer (Grandma), Stanley Tucci (Mr Stringer), Chris Rock (Older Hero Mouse)"
3100,3027. Ra.One,tt1562871,4.9,2015,2h 36m,Ra.One,3027. Ra.One,https://www.boxofficemojo.com/title/tt1562871/,Ra.One (2011),"$35,911,689","$2,511,689","$33,400,000",Anubhav Sinha,"Shah Rukh Khan (Shekhar Subramanium/G.One), Kareena Kapoor (Sonia S. Subramanium), Arjun Rampal (Ra.One), Armaan Verma (Prateek (Lucifer))"
3101,3028. Baby Mama,tt0871426,6.0,1h 40m,1h 39m,Baby Mama,3028. Baby Mama,https://www.boxofficemojo.com/title/tt0871426/,Baby Mama (2008),"$64,444,713","$60,494,212","$3,950,501",Michael McCullers,"Tina Fey (Kate), Amy Poehler (Angie), Sigourney Weaver (Chaffee Bicknell), Greg Kinnear (Rob)"
3102,3029. Liger,tt4435072,2.6,PG-13,2h 20m,Liger,3029. Liger,https://www.boxofficemojo.com/title/tt4435072/,Liger (2022),"$4,879,486",–,"$4,879,486",Puri Jagannadh,"Vijay Deverakonda (Sashwath 'Liger' Agarwal), Ananya Panday (Tanya Panday), Ramya Krishnan (Balamani Agarwal), Mike Tyson (Mark Anderson)"
3103,3030. Suburbicon,tt0491175,5.8,2021,1h 45m,Suburbicon,3030. Suburbicon,https://www.boxofficemojo.com/title/tt0491175/,Suburbicon (2017),"$12,768,857","$5,775,178","$6,993,679",George Clooney,"Matt Damon (Gardner), Julianne Moore (Rose/Margaret), Oscar Isaac (Bud Cooper), Noah Jupe (Nicky)"
3104,3031. The Boogeyman,tt3427252,5.9,1h 49m,1h 38m,The Boogeyman,3031. The Boogeyman,https://www.boxofficemojo.com/title/tt3427252/,The Boogeyman (2023),"$67,307,243","$43,244,282","$24,062,961",Rob Savage,"Sophie Thatcher (Sadie Harper), Chris Messina (Will Harper), Vivien Lyra Blair (Sawyer Harper), David Dastmalchian (Lester Billings)"
3105,3032. MacGruber,tt1470023,5.6,TV-MA,1h 30m,MacGruber,3032. MacGruber,https://www.boxofficemojo.com/title/tt1470023/,MacGruber (2010),"$9,322,895","$8,525,600","$797,295",Jorma Taccone,"Will Forte (MacGruber), Kristen Wiig (Vicki), Val Kilmer (Cunth), Ryan Phillippe (Piper)"
3106,3033. The House,tt4481514,5.6,2007,1h 28m,The House,3033. The House,https://www.boxofficemojo.com/title/tt4481514/,The House (2017),"$34,284,504","$25,584,504","$8,700,000",Andrew Jay Cohen,"Will Ferrell (Scott Johansen), Amy Poehler (Kate Johansen), Ryan Simpkins (Alex Johansen), Jason Mantzoukas (Frank)"
3107,3033. The House,tt4481514,5.6,2007,1h 28m,The House,3033. The House,https://www.boxofficemojo.com/title/tt4481514/,The House (2022),–,–,–,Paloma Baeza,"Mia Goth (Mabel (segment ""I"")), Matthew Goode (Raymond (segment ""I"")), Claudie Blakley (Penelope (segment ""I"")), Eleanor De Swaef-Roels (Isobel (segment ""I""))"
3108,3034. You Will Meet a Tall Dark Stranger,tt1182350,6.3,1h 33m,1h 38m,You Will Meet a Tall Dark Stranger,3034. You Will Meet a Tall Dark Stranger,https://www.boxofficemojo.com/title/tt1182350/,You Will Meet a Tall Dark Stranger (2010),"$36,015,260","$3,248,246","$32,767,014",Woody Allen,"Anthony Hopkins (Alfie), Naomi Watts (Sally), Josh Brolin (Roy), Gemma Jones (Helena)"
3109,3035. The Spy Next Door,tt1273678,5.5,PG-13,1h 34m,The Spy Next Door,3035. The Spy Next Door,https://www.boxofficemojo.com/title/tt1273678/,The Spy Next Door (2010),"$62,574,241","$24,307,086","$38,267,155",Brian Levant,"Jackie Chan (Bob Ho), Amber Valletta (Gillian), Billy Ray Cyrus (Colton James), Madeline Carroll (Farren)"
