Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link
3329. Main Hoon Na,tt0347473,7.1,PG-13,3h 2m,https://www.boxofficemojo.com/title/tt0347473/
3330. The Hate U Give,tt5580266,7.5,2003,2h 13m,https://www.boxofficemojo.com/title/tt5580266/
3331. Kicking & Screaming,tt0384642,5.6,1h 49m,1h 35m,https://www.boxofficemojo.com/title/tt0384642/
3332. Chasing Liberty,tt0360139,6.1,R,1h 51m,https://www.boxofficemojo.com/title/tt0360139/
3333. Tae Guk Gi: The Brotherhood of War,tt0386064,8.0,2017,2h 20m,https://www.boxofficemojo.com/title/tt0386064/
3334. '83,tt7518786,7.5,1h 56m,2h 42m,https://www.boxofficemojo.com/title/tt7518786/
3335. At Eternity's Gate,tt6938828,6.9,PG-13,1h 51m,https://www.boxofficemojo.com/title/tt6938828/
3336. Whiteout,tt0365929,5.5,2021,1h 41m,https://www.boxofficemojo.com/title/tt0365929/
3337. Happy-Go-Lucky,tt1045670,7.0,2h 38m,1h 58m,https://www.boxofficemojo.com/title/tt1045670/
3338. Deadfall,tt1667310,6.2,R,1h 35m,https://www.boxofficemojo.com/title/tt1667310/
3339. Nyad,tt5302918,7.1,2014,2h 1m,https://www.boxofficemojo.com/title/tt5302918/
3340. Man of Tai Chi,tt2016940,6.0,1h 46m,1h 45m,https://www.boxofficemojo.com/title/tt2016940/
3341. Annie,tt1823664,5.4,R,1h 58m,https://www.boxofficemojo.com/title/tt1823664/
3342. Deception,tt0800240,6.0,2005,1h 47m,https://www.boxofficemojo.com/title/tt0800240/
3343. Turistas,tt0454970,5.4,1h 49m,1h 33m,https://www.boxofficemojo.com/title/tt0454970/
3344. Spun,tt0283003,6.7,R,1h 41m,https://www.boxofficemojo.com/title/tt0283003/
3345. Girls Trip,tt3564472,6.2,2005,2h 2m,https://www.boxofficemojo.com/title/tt3564472/
3346. Severance,tt0464196,6.4,2h 25m,1h 36m,https://www.boxofficemojo.com/title/tt0464196/
3347. Bully,tt0242193,6.9,PG-13,1h 48m,https://www.boxofficemojo.com/title/tt0242193/
3348. Hold the Dark,tt5057140,5.6,2013,2h 5m,https://www.boxofficemojo.com/title/tt5057140/
3349. Kisi Ka Bhai Kisi Ki Jaan,tt3679040,4.0,1h 35m,2h 25m,https://www.boxofficemojo.com/title/tt3679040/
3350. World's Greatest Dad,tt1262981,6.9,R,1h 39m,https://www.boxofficemojo.com/title/tt1262981/
3351. Wild Target,tt1235189,6.7,2017,1h 38m,https://www.boxofficemojo.com/title/tt1235189/
3352. Southland Tales,tt0405336,5.3,1h 29m,2h 25m,https://www.boxofficemojo.com/title/tt0405336/
