Title,Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
Iron Man 3,Iron Man 3 (2013),tt1300854,7.1,2013,2h 10m,https://www.boxofficemojo.com/title/tt1300854/,"$1,266,152,644","$409,013,994","$857,138,650",Shane Black,"Robert Downey Jr. (Tony Stark), Guy Pearce (Aldrich Killian), Gwyneth Paltrow (Pepper Potts), Don Cheadle (Colonel James Rhodes)"
Captain America: The First Avenger,Captain America: The First Avenger (2011),tt0458339,6.9,2011,2h 4m,https://www.boxofficemojo.com/title/tt0458339/,"$370,569,774","$176,654,505","$193,915,269",Joe Johnston,"Chris Evans (Captain America/Steve Rogers), Hugo Weaving (Johann Schmidt/Red Skull), Samuel L. Jackson (Nick Fury), Hayley Atwell (Peggy Carter)"
Toy Story 3,Toy Story 3 (2010),tt0435761,8.3,2010,1h 43m,https://www.boxofficemojo.com/title/tt0435761/,"$1,067,316,101","$415,004,880","$652,311,221",Lee Unkrich,"Tom Hanks (Woody), Tim Allen (Buzz Lightyear), Joan Cusack (Jessie), Ned Beatty (Lotso)"
The Grand Budapest Hotel,The Grand Budapest Hotel (2014),tt2278388,8.1,2014,1h 39m,https://www.boxofficemojo.com/title/tt2278388/,"$174,567,384","$59,301,324","$115,261,956",Wes Anderson,"Ralph Fiennes (M. Gustave), F. Murray Abraham (Mr. Moustafa), Mathieu Amalric (Serge X.), Adrien Brody (Dmitri)"
Spider-Man,Spider-Man (2002),tt0145487,7.4,2002,2h 1m,https://www.boxofficemojo.com/title/tt0145487/,"$825,802,095","$407,774,549","$418,002,176",Sam Raimi,"Tobey Maguire (Spider-Man/Peter Parker), Kirsten Dunst (Mary Jane Watson), Willem Dafoe (Green Goblin/Norman Osborn), James Franco (Harry Osborn)"
The Revenant,The Revenant (2015),tt1663202,8.0,2015,2h 36m,https://www.boxofficemojo.com/title/tt1663202/,"$532,950,503","$183,637,894","$349,312,609",Alejandro G. Iñárritu,"Leonardo DiCaprio (Hugh Glass), Tom Hardy (John Fitzgerald), Will Poulter (Bridger), Domhnall Gleeson (Captain Andrew Henry)"
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey (2012),tt0903624,7.8,2012,2h 49m,https://www.boxofficemojo.com/title/tt0903624/,"$1,017,107,150","$303,030,651","$714,000,401",Peter Jackson,"Martin Freeman (Bilbo), Ian McKellen (Gandalf), Richard Armitage (Thorin), Andy Serkis (Gollum)"
Iron Man 2,Iron Man 2 (2010),tt1228705,6.9,2010,2h 4m,https://www.boxofficemojo.com/title/tt1228705/,"$623,933,331","$312,433,331","$311,500,000",Jon Favreau,"Robert Downey Jr. (Tony Stark), Mickey Rourke (Ivan Vanko), Gwyneth Paltrow (Pepper Potts), Don Cheadle (Lt. Col. James 'Rhodey' Rhodes)"
Slumdog Millionaire,Slumdog Millionaire (2008),tt1010048,8.0,2008,2h,https://www.boxofficemojo.com/title/tt1010048/,"$378,411,362","$141,319,928","$237,090,614",Danny Boyle,"Dev Patel (Older Jamal), Freida Pinto (Older Latika), Saurabh Shukla (Sergeant Srinivas), Anil Kapoor (Prem)"
Spirited Away,Spirited Away (2001),tt0245429,8.6,2001,2h 4m,https://www.boxofficemojo.com/title/tt0245429/,"$358,380,478","$15,205,725","$342,900,831",Hayao Miyazaki,"Daveigh Chase (Chihiro), Suzanne Pleshette (Yubaba/Zeniba), Miyu Irino (Haku), Rumi Hiiragi (Chihiro Ogino/Sen)"
