Title,ID,Rating,Release Year,Duration
335. The Suicide Squad,tt6334354,7.2,2h 3m,2h 12m
336. Spider-Man: Across the Spider-Verse,tt9362722,8.6,PG-13,2h 20m
337. The Machinist,tt0361862,7.6,2004,1h 41m
338. Fast & Furious 6,tt1905041,7.0,2h 7m,2h 10m
339. Furious 7,tt2820852,7.1,PG-13,2h 17m
340. Ocean's Twelve,tt0349903,6.5,2009,2h 5m
341. The Gentlemen,tt8367814,7.8,1h 52m,1h 53m
342. The Lives of Others,tt0405094,8.4,R,2h 17m
343. Thor: Love and Thunder,tt10648342,6.2,2013,1h 58m
344. Mission: Impossible - Rogue Nation,tt2381249,7.4,1h 55m,2h 11m
345. 22 Jump Street,tt2294449,7.0,PG-13,1h 52m
346. Wanted,tt0493464,6.7,2011,1h 50m
347. Fast Five,tt1596343,7.3,1h 40m,2h 10m
348. Men in Black II,tt0120912,6.2,R,1h 28m
349. The Fault in Our Stars,tt2582846,7.7,2013,2h 6m
350. 127 Hours,tt1542344,7.5,2h 41m,1h 34m
351. Guardians of the Galaxy Vol. 3,tt6791350,7.9,PG-13,2h 30m
352. Maleficent,tt1587310,6.9,2012,1h 37m
353. Inside Man,tt0454848,7.6,2h 16m,2h 9m
354. 2012,tt1190080,5.8,PG-13,2h 38m
355. Hereditary,tt7784604,7.3,2006,2h 7m
356. The Others,tt0230600,7.6,1h 58m,1h 44m
357. Friends with Benefits,tt1632708,6.5,R,1h 49m
358. About Time,tt2194499,7.8,2010,2h 3m
359. Monsters University,tt1453405,7.2,1h 58m,1h 44m
360. Moana,tt3521164,7.6,R,1h 47m
361. Bird Box,tt2737304,6.6,2002,2h 4m
362. Eternals,tt9032400,6.3,2h 41m,2h 36m
363. Man on Fire,tt0328107,7.7,PG,2h 26m
364. Mission: Impossible III,tt0317919,6.9,2004,2h 6m
365. Snowpiercer,tt1706620,7.1,2h 22m,2h 6m
366. Soul,tt2948372,8.0,PG,1h 40m
367. Signs,tt0286106,6.8,2017,1h 46m
368. The Lego Movie,tt1490017,7.7,2h 21m,1h 40m
369. Men in Black³,tt1409024,6.8,PG-13,1h 46m
370. The Fighter,tt0964517,7.8,2008,1h 56m
371. The Italian Job,tt0317740,7.0,2h 46m,1h 51m
372. Brokeback Mountain,tt0388795,7.7,PG-13,2h 14m
373. Shazam!,tt0448115,7.0,2007,2h 12m
374. The Illusionist,tt0443543,7.5,2h 49m,1h 50m
375. Sweeney Todd: The Demon Barber of Fleet Street,tt0408236,7.3,PG-13,1h 56m
376. Mulholland Drive,tt0166924,7.9,2006,2h 27m
377. 50 First Dates,tt0343660,6.8,2h 24m,1h 39m
378. The Aviator,tt0338751,7.5,PG-13,2h 50m
379. Yes Man,tt1068680,6.8,2019,1h 44m
380. Knocked Up,tt0478311,6.9,1h 59m,2h 9m
381. Solo: A Star Wars Story,tt3778644,6.9,R,2h 15m
382. Mission: Impossible - Fallout,tt4912910,7.7,2018,2h 27m
383. Night at the Museum,tt0477347,6.5,1h 57m,1h 48m
384. Anchorman: The Legend of Ron Burgundy,tt0357413,7.1,PG,1h 34m
385. The Nice Guys,tt3799694,7.4,2016,1h 56m
386. The Hunger Games: Mockingjay - Part 2,tt1951266,6.6,2h 13m,2h 17m
387. Constantine,tt0360486,7.0,PG-13,2h 1m
388. The Ring,tt0298130,7.1,2005,1h 55m
389. Downfall,tt0363163,8.2,2h 37m,2h 36m
390. Flight,tt1907668,7.3,PG-13,2h 18m
391. Terminator Salvation,tt0438488,6.5,2016,1h 55m
392. Moon,tt1182345,7.8,2h 8m,1h 37m
393. Wedding Crashers,tt0396269,7.0,PG-13,1h 59m
394. Hotel Rwanda,tt0395169,8.1,2018,2h 1m
395. Cloud Atlas,tt1371111,7.4,1h 59m,2h 52m
396. The Hunt,tt2106476,8.3,R,1h 55m
397. Kingsman: The Golden Circle,tt4649466,6.7,2017,2h 21m
398. How to Train Your Dragon 2,tt1646971,7.8,2h 44m,1h 42m
399. Jack Reacher,tt0790724,7.0,R,2h 10m
400. Ocean's Thirteen,tt0496806,6.9,2015,2h 2m
401. The Proposal,tt1041829,6.8,2h 4m,1h 48m
402. Annihilation,tt2798920,6.8,PG-13,1h 55m
403. Boyhood,tt1065073,7.9,2013,2h 45m
404. Super 8,tt1650062,7.0,2h 6m,1h 52m
405. Moonrise Kingdom,tt1748122,7.8,R,1h 34m
406. The Expendables,tt1320253,6.4,2007,1h 43m
407. The Blind Side,tt0878804,7.6,2h 24m,2h 9m
408. Click,tt0389860,6.4,PG-13,1h 47m
409. Real Steel,tt0433035,7.1,2017,2h 7m
410. 10 Cloverfield Lane,tt1179933,7.2,2h 32m,1h 43m
411. True Grit,tt1403865,7.6,PG-13,1h 50m
412. National Treasure,tt0368891,6.9,2009,2h 11m
413. Shooter,tt0822854,7.1,2h 8m,2h 4m
414. The Interview,tt2788710,6.5,PG-13,1h 52m
415. Pineapple Express,tt0910936,6.9,2013,1h 51m
416. Due Date,tt1231583,6.5,1h 42m,1h 35m
417. Tron: Legacy,tt1104001,6.8,PG,2h 5m
418. Burn After Reading,tt0887883,7.0,2015,1h 36m
419. John Wick: Chapter 4,tt10366206,7.6,2h 48m,2h 49m
420. Kong: Skull Island,tt3731562,6.7,R,1h 58m
421. Pirates of the Caribbean: Dead Men Tell No Tales,tt1790809,6.5,2012,2h 9m
422. Pearl Harbor,tt0213149,6.2,2h 7m,3h 3m
423. Hellboy,tt0167190,6.9,PG,2h 2m
424. Us,tt6857112,6.8,2014,1h 56m
425. Marriage Story,tt7653254,7.9,1h 59m,2h 17m
426. The Simpsons Movie,tt0462538,7.3,R,1h 27m
427. Jurassic World: Fallen Kingdom,tt4881806,6.1,2012,2h 8m
428. The Mummy Returns,tt0209163,6.4,1h 46m,2h 10m
429. Up in the Air,tt1193138,7.4,R,1h 49m
430. Equilibrium,tt0238380,7.3,2007,1h 47m
431. The Mist,tt0884328,7.1,2h 28m,2h 6m
432. Les Misérables,tt1707386,7.5,R,2h 38m
433. Fantastic Four,tt0120667,5.7,2012,1h 46m
434. The Secret Life of Walter Mitty,tt0359950,7.3,2h 4m,1h 54m
435. Insidious,tt1591095,6.8,R,1h 43m
436. Jurassic Park III,tt0163025,5.9,2007,1h 32m
437. The Book of Eli,tt1037705,6.8,1h 55m,1h 58m
438. 50/50,tt1306980,7.6,PG-13,1h 40m
439. The Dictator,tt1645170,6.5,2003,1h 23m
440. Lady Bird,tt4925292,7.4,2h,1h 34m
441. Lord of War,tt0399295,7.6,R,2h 2m
442. Incredibles 2,tt3606756,7.5,2007,1h 58m
443. The Hangover Part III,tt1951261,5.8,2h 38m,1h 40m
444. The Man from U.N.C.L.E.,tt1638355,7.2,R,1h 56m
445. Pride & Prejudice,tt0414387,7.8,2007,2h 9m
